Name,GWEIGHT,G0.05,G0.1,G0.15,G0.2,G0.25,G0.3,N0.05,N0.1,N0.15,N0.2,N0.25,N0.3,P0.05,P0.1,P0.15,P0.2,P0.25,P0.3,S0.05,S0.1,S0.15,S0.2,S0.25,S0.3,L0.05,L0.1,L0.15,L0.2,L0.25,L0.3,U0.05,U0.1,U0.15,U0.2,U0.25,U0.3
SSM4       : ER-associated protein catabolism ,1,0.05,-0.1,-0.21,-0.15,-0.14,-0.18,0.42,0.52,0.44,0.07,0.13,-0.12,-0.14,-0.22,-0.17,0.01,-0.2,-0.15,0.42,0.53,0.2,0.26,0.05,0.21,0.13,0.29,-0.12,-0.08,-0.11,-0.28,-0.99,0.28,-0.19,-0.43,-0.2,0.02
"NEO1       : retrograde transport, Golgi to ER* ",1,0.09,-0.03,-0.03,-0.04,-0.19,-0.22,0.41,0.42,0.49,0.06,-0.06,-0.07,-0.06,-0.23,-0.09,0.34,-0.03,0,0.13,0.46,0.16,0.24,0.15,0.33,0.01,0.18,-0.04,-0.03,-0.04,-0.08,-1.13,0.36,-0.04,-0.1,0.03,0.08
ROM2       : cell wall organization and biogenesis* ,1,-0.01,0.01,0.1,0.16,-0.19,-0.33,0.46,0.05,0.55,0.27,0.03,-0.07,0.23,0.03,0.12,0.24,0.14,-0.25,-0.33,0.64,0.28,0.31,0.21,0.23,0.18,0.14,-0.02,-0.14,-0.17,-0.26,-1.05,-0.02,0.09,-0.19,-0.16,-0.37
NCR1       : sphingolipid metabolism ,1,0.2,-0.15,0.01,0.15,-0.1,-0.13,0.77,0.66,0.29,0.1,-0.04,-0.05,0.74,0.31,0.16,0.2,0,-0.01,0,0.5,-0.07,0.14,-0.14,0.13,0.21,0.11,0,0.22,0.05,-0.25,-0.68,-0.03,-0.32,-0.41,0,-0.05
          : biological process unknown ,1,0.01,-0.05,0.04,0.14,0.07,0.01,0.38,0.07,0.01,0.06,-0.16,-0.04,0.09,0.1,0.09,0.2,0.12,0.21,0.54,0.31,0.04,0.01,0,0.03,-0.01,-0.1,-0.22,-0.2,-0.07,-0.08,-0.39,0.04,-0.14,-0.14,-0.07,-0.09
          : biological process unknown ,1,-0.36,-0.17,-0.12,-0.15,-0.27,-0.07,0.23,0.34,0.38,0.23,0.08,0.13,0.13,-0.16,-0.2,-0.13,-0.03,0.07,0.31,0.33,0.12,0.19,0.05,0.17,-0.13,-0.01,-0.1,0.04,-0.16,0,-0.48,-0.22,-0.3,-0.14,-0.2,0.11
SSP2       : spore wall assembly (sensu Fungi) ,1,-0.23,-0.09,-0.09,0.1,-0.05,-0.03,0.32,-0.03,0.65,0.61,0.47,0.22,0.39,0.47,-0.23,0.2,-0.03,-0.09,0.24,0.48,0.72,0.56,0.69,-0.03,-0.26,0.07,-0.19,-0.01,-0.16,-0.03,-0.1,0.27,-0.13,0.1,0,-0.42
PRI1       : DNA replication initiation* ,1,-0.16,-0.33,-0.11,-0.17,-0.03,0.24,0.18,0.27,0.23,0.28,0.3,0.31,-0.03,0.14,0.15,-0.18,0.1,0.07,0.37,0.13,0.04,0.06,0.17,-0.08,-0.3,0.07,0.3,0.26,0.18,0.24,-0.09,0.28,0,0.04,-0.05,0.15
RFA2       : DNA recombination* ,1,0.04,-0.12,-0.37,-0.32,0.07,0.15,0.51,0.42,0.17,0.21,0.07,0.3,-0.05,0.2,0.18,0.13,0.4,0.5,0.47,0.28,0.31,0.08,0.24,-0.01,-0.19,-0.11,0.27,0.18,0.11,0.2,0.01,0.12,-0.06,0.02,-0.11,0
TAF6       : transcription initiation from RNA polymerase II promoter* ,1,0.03,-0.04,-0.06,-0.01,0.05,0.08,0.1,0.06,0.12,-0.04,-0.05,0.26,-0.09,0.08,0.16,0.03,0.33,0.28,0.2,0.05,0.29,0.17,0.29,0.09,-0.29,0.06,0,0.15,0.12,0.25,-1.01,0.03,0.02,0.22,0.22,0.19
KRE29      : biological process unknown ,1,-0.34,0.72,0.19,-0.19,-0.06,0.13,0.79,0.81,0.65,0.58,0.33,0.14,0.69,0.81,0.63,NA,0.87,0.42,NA,0.49,0.6,0.54,0.29,0.02,0.36,0.64,0.19,0.17,0.05,0.04,NA,-0.01,-0.35,0.99,-0.05,0.06
TFB1       : transcription initiation from RNA polymerase II promoter* ,1,0.21,0.16,0.12,0.03,-0.08,-0.06,0.35,0.34,0.13,0.39,0.08,-0.18,0.4,0.46,0.33,0.37,0.15,0.16,0.43,0.36,0.22,0.25,0.38,0.12,0.12,0.28,0.17,0.15,0.08,0.14,-0.57,-0.01,0.06,0.31,0.17,0.04
ERG1       : ergosterol biosynthesis ,1,-0.04,0.07,0.32,0,-0.09,0.07,0.82,0.66,0.12,0.19,0.17,0.12,0.49,0.52,0.44,0.29,0.56,0.41,-0.08,0.68,0.26,0.36,0.44,0.44,-0.08,0.18,0.21,0.19,0.27,0.15,-1.69,-0.18,0.23,0.03,0.3,0.41
NUP188     : mRNA-nucleus export* ,1,-0.08,0.01,0.14,0.11,0.12,0.02,0.03,-0.01,0.27,0.11,0.13,0.26,0.31,0.39,0.34,0.58,0.46,0.43,0.13,0.34,0.22,0.13,0.07,0.18,0,0.16,0.12,0.03,0.11,-0.1,-1.05,-0.07,-0.11,-0.02,-0.01,0.03
FLR1       : response to toxin ,1,0.08,0.16,-0.27,-0.22,-0.12,0.1,0.56,0.34,0.35,0.1,0.32,0.43,0.37,0.32,0.16,0.33,0.44,0.44,0.71,0.69,0.78,0.32,0.14,0.12,0.13,-0.01,-0.26,-0.24,-0.23,0.03,-0.85,-0.34,-0.26,-0.16,-0.21,0
RNH202     : DNA replication ,1,0.39,0.37,-0.11,-0.41,0.06,0.29,0.19,0.27,0.23,0.22,0.12,0.15,0.36,0.35,0.45,0.4,0.55,0.24,0.53,0.69,0.48,0.17,0.26,0.11,-0.22,0.01,-0.1,0.06,-0.04,0.16,-0.91,-0.26,0.13,0,0.02,-0.02
          : biological process unknown ,1,0.28,0.38,-0.02,-0.21,-0.2,0,0.8,0.81,0.85,0.74,0.75,0.48,0.07,0.37,0.55,0.43,0.52,0.41,0.85,0.4,0.24,0.19,0.33,0.1,-0.31,0.09,-0.03,0.15,0.09,0.03,-1.12,-0.23,-0.22,0.06,-0.1,0.01
CDC5       : protein amino acid phosphorylation* ,1,-0.36,-0.22,-0.34,-0.16,0.1,0,0.43,0.36,0.36,0.34,0.25,0.22,0.1,0.26,0.51,0.43,0.41,0.24,0.28,0.31,0.26,0.22,0.27,0.34,-0.37,-0.21,0.26,0.1,0.07,0.1,-0.46,0.1,0.14,0.09,0.17,-0.09
          : biological process unknown ,1,-0.42,-0.3,-0.34,-0.47,0,-0.01,0.15,0.29,0.34,0.57,0.49,0.14,0.03,0.37,0.52,0.48,0.6,0.29,0.12,0.59,0.44,0.25,0.48,0.26,-0.85,-0.37,0.11,-0.02,0.1,0.1,-1.17,-0.27,-0.07,0,-0.1,-0.12
SPC24      : chromosome segregation* ,1,-0.89,0.09,-0.36,-0.34,-0.19,-0.2,0.74,0.32,0.68,0.29,0.33,0.28,0.32,0.24,0.65,0.46,0.81,0.43,NA,0.56,0.41,0.1,0.2,0.03,-1.05,-0.29,-0.11,-0.22,-0.12,-0.08,NA,-0.61,-0.22,-0.16,-0.31,-0.04
          : biological process unknown ,1,-0.2,0.05,-0.14,-0.21,-0.16,-0.33,0.15,0.16,0.38,0.42,0.25,-0.02,0.35,0.29,0.35,0.49,0.31,0,0.03,0.74,0.42,0.21,0.27,0.16,-0.33,-0.05,-0.16,-0.18,-0.14,-0.25,-0.92,-0.38,-0.19,-0.19,-0.28,-0.3
BRE1       : chromatin silencing at telomere* ,1,-0.28,0.04,0.04,-0.18,-0.14,0.01,0.03,0.13,0.43,0.69,0.56,0.07,0.48,0.38,0.41,0.67,0.35,0.07,0.38,0.38,0.24,0.19,0.15,0,-0.16,0.12,-0.08,-0.06,-0.06,-0.16,-0.41,-0.41,-0.05,-0.11,-0.07,-0.2
          : biological process unknown ,1,-0.34,NA,0.16,-0.48,-0.37,-0.35,0.14,-0.08,0.15,0.78,0.33,0.15,NA,0.24,0.5,0.41,0.24,NA,NA,0.36,0.35,0.2,0.3,0.07,0.05,0.1,-0.18,0.1,0,0.02,NA,-0.4,0.04,-0.02,-0.26,-0.07
          : biological process unknown ,1,-0.29,-0.26,-0.2,-0.26,-0.08,0.06,-0.13,-0.01,0.22,0.29,0.31,0.08,0.1,-0.01,0,0.01,0.15,0.17,0.13,0.12,0.2,0.02,0.2,0.02,-0.01,0.17,0.05,0.15,0.06,0.19,-0.64,-0.38,-0.09,0.05,0.05,-0.02
ORC4       : DNA replication initiation* ,1,-0.23,-0.29,0.03,0.01,0.08,0.15,-0.01,0.27,0.47,0.31,0.25,0.33,0.16,-0.01,0.11,0.09,0.28,0.19,0.1,0.07,0.42,0.4,0.26,0.27,0.03,0.04,0.04,0.18,0.07,0.23,-0.79,-0.19,-0.1,0.17,0.09,0.16
FOL1       : folic acid and derivative biosynthesis ,1,-0.92,-0.95,-0.18,-0.09,-0.15,0.15,-0.57,-0.29,-0.02,-0.07,0.08,0.51,0.84,0.53,0.49,0.81,0.67,0.65,0.78,1.17,1.14,1,0.84,0.77,-0.29,-0.09,0.17,0.05,0.15,0.09,-1,0.13,0.16,-0.11,0.03,0.05
GSH1       : response to cadmium ion* ,1,-0.26,-0.43,-0.21,-0.12,-0.03,-0.07,0.2,0.09,0.11,-0.01,-0.22,0.11,0.58,0.52,0.6,0.48,0.41,0.58,1.39,1.3,1.26,1.14,1.1,0.92,-0.35,-0.33,-0.33,-0.35,-0.19,0.02,-0.63,-0.34,-0.28,-0.21,-0.3,-0.16
RMD6       : biological process unknown ,1,-1.04,-0.82,-0.78,-0.87,-0.13,0.05,0.31,0.77,1.46,1.35,1.15,0.85,0.68,0.41,0.34,0.66,0.42,0.68,1.91,1.95,1.99,1.61,1.53,1.18,-0.54,-0.12,-0.01,0.16,0.13,0.14,-0.89,0.07,0.04,0.45,0.27,0.18
          : biological process unknown ,1,-0.47,-0.58,-0.53,-0.29,-0.09,0.08,-0.08,-0.02,0.07,0.3,0.28,0.2,-0.1,0.15,0.19,0.32,0.25,0.48,1.17,0.89,1.12,0.79,0.73,0.39,-0.35,-0.14,-0.05,-0.03,0.17,0.13,-0.23,-0.34,-0.09,-0.16,0.04,0.07
CHL4       : chromosome segregation ,1,-0.3,-0.28,-0.14,0.06,0.21,0.25,0.07,-0.08,0.1,0.69,0.43,0.09,0.14,0.15,0.09,0.25,0.14,0.15,1.54,0.72,0.95,0.58,0.78,0.54,0.02,0.2,0.17,0.21,0.05,0.14,-0.63,-0.37,0.09,0.18,0.15,0.05
NUT1       : regulation of transcription from RNA polymerase II promoter ,1,-0.12,-0.12,0.09,0.08,0.06,-0.05,0.06,-0.19,0.1,0.14,0.2,0.08,0.23,0.24,0.16,0.26,0.12,0.29,0.58,0.04,0.27,0.17,0.18,0.22,0.03,0.14,0.06,-0.06,0.05,-0.11,-0.22,-0.18,0.06,0.09,0.2,0.04
SRP101     : protein-ER targeting* ,1,-0.31,-0.24,-0.05,-0.09,-0.07,-0.04,0.07,0.05,0.07,0.03,0.1,0.2,0.1,0.31,0.15,0.25,0.13,0.15,0.64,0.11,0.11,0.06,0.1,0.12,-0.14,-0.12,0.04,-0.01,0.07,0.03,0.12,-0.31,-0.07,-0.01,0.02,0.13
STE12      : pseudohyphal growth* ,1,-0.63,-0.35,0.07,0.03,-0.13,0,0.06,-0.04,0.15,0.04,0.22,0.06,0.52,0.51,0.22,0.38,0.28,0.02,0.6,0.03,-0.13,0.11,0.05,0.06,-0.57,-0.38,-0.24,-0.29,-0.05,-0.05,0.05,-0.07,0.09,-0.24,-0.08,-0.01
RAM1       : protein amino acid farnesylation ,1,-0.39,-0.14,-0.41,-0.25,-0.01,0.22,-0.02,0.24,0.03,-0.13,-0.14,0.09,0.58,0.69,0.51,0.51,0.34,0.36,0.5,-0.06,0.12,-0.01,-0.24,-0.01,-0.63,-0.54,-0.25,-0.08,-0.19,0.07,-0.44,-0.31,-0.36,-0.08,0.01,0.17
RHO4       : actin filament organization* ,1,0.02,-0.36,-0.36,-0.24,-0.14,-0.05,0.24,0.1,-0.04,0.17,-0.01,0.36,0.46,0.37,0.39,0.34,0.31,0.17,0.5,0.19,0.36,0.07,0.01,-0.07,-0.5,-0.18,-0.24,-0.1,-0.02,-0.01,-0.63,-0.23,-0.47,-0.15,-0.04,0.12
PMT6       : protein amino acid O-linked glycosylation ,1,-0.19,-0.43,-0.27,0.1,-0.06,0,0.28,0.26,-0.06,-0.28,-0.03,0.09,0.43,0.5,0.27,0.41,0.21,0.27,0.47,0.2,-0.01,0.3,0.05,0.38,-0.16,-0.2,0.03,0.16,0.14,-0.07,-0.49,-0.53,-0.37,-0.28,0,0.24
GAS2       : biological process unknown ,1,-0.7,-0.73,-0.99,-0.37,0.19,0.06,0.38,0.14,-0.11,0.07,0.16,0.45,0.67,0.34,0.07,0.06,0.26,0.31,NA,-0.1,0.54,0.37,0.12,0.59,-0.23,-0.45,-0.55,-0.32,-0.23,-0.02,-0.47,-0.14,-0.04,-0.33,0.16,0.12
SIR4       : double-strand break repair via nonhomologous end-joining* ,1,-0.26,-0.38,-0.06,-0.12,-0.1,-0.2,0.37,0.2,-0.02,0.07,0.33,0.11,0.79,0.57,0.49,0.12,0.06,0.39,-0.03,0.14,0.19,-0.01,0.23,0.37,-0.13,-0.18,-0.28,-0.09,-0.11,0.09,-0.19,-0.22,-0.22,0.11,-0.01,0.19
          : biological process unknown ,1,1.31,0.65,-0.17,0.02,-0.11,0.08,0.48,0.51,0.3,0.3,0.6,0.51,1.85,0.42,0.35,0.33,-0.06,0.24,NA,-0.53,-0.78,-0.51,-0.31,-0.35,-0.34,-0.18,-0.27,-0.06,0.15,0.11,-0.71,-0.82,-0.46,-0.06,-0.08,0.34
          : cellular respiration ,1,1.09,0.19,-0.31,-0.44,0.03,0.41,0.47,0.06,0.42,0.29,0.21,0.01,1.83,1.55,1.23,0.97,0.55,0.88,0.32,-0.18,-0.77,-0.23,-0.06,0.14,-0.28,-0.5,-0.58,-0.06,0.02,0.47,-0.28,-0.82,-0.54,0.27,-0.08,0.12
URA2       : 'de novo' pyrimidine base biosynthesis* ,1,0.41,-0.16,-0.19,-0.09,0.16,0.39,1.15,1.22,0.38,0.27,0.34,0.46,1.27,1.48,1.13,0.79,0.6,0.31,-0.36,-0.43,-0.85,-0.34,-0.48,-0.18,-0.09,0,0.28,0.13,0.08,-0.11,-0.2,0.8,0.29,0.67,0.65,0.39
AKR2       : endocytosis ,1,0,-0.45,-0.19,-0.05,-0.33,-0.17,0.58,0.47,0.28,-0.07,-0.17,-0.02,0.5,0.36,0.36,0.5,0.09,0.3,-0.03,0.39,0.13,0.39,0.18,0.29,0.06,0.08,0,0.2,0.21,-0.01,0.14,0.03,-0.12,-0.37,0.12,0.49
ECM27      : cell wall organization and biogenesis ,1,0.13,-0.14,0.05,0.23,0.03,-0.4,0.07,0.2,-0.09,0.06,-0.17,0.19,0.8,0.24,0.1,0.7,0.43,0.71,NA,0.54,0.14,0.35,0.11,0.37,0.08,-0.18,-0.07,-0.04,0.02,0.23,NA,NA,0.2,-0.37,0.09,0.46
ALG11      : protein amino acid glycosylation ,1,-0.3,-0.32,-0.21,-0.28,-0.35,-0.47,-0.41,-0.19,0.45,0.24,0.13,-0.26,0.24,0.33,0.3,0.32,0.22,0.28,-0.55,-0.14,0.01,-0.02,0.06,-0.18,-0.37,-0.1,-0.4,-0.26,-0.2,-0.16,-0.46,0.06,-0.16,-0.34,-0.19,-0.18
          : biological process unknown ,1,-0.14,-0.14,-0.09,0.03,-0.2,-0.41,-0.14,-0.01,0.65,0.45,0.15,-0.15,0.46,0.29,0.42,0.4,0.21,0.25,-0.33,0.28,0.14,0.08,0.07,-0.08,-0.15,-0.22,-0.18,-0.23,-0.27,-0.1,-0.3,-0.14,-0.2,-0.19,-0.21,-0.24
TRL1       : tRNA splicing* ,1,-0.36,0.04,-0.13,-0.18,-0.24,-0.19,-0.21,0.14,0.65,0.54,0.31,-0.05,0.34,0.26,0.2,0.24,0.17,-0.1,-0.57,0.07,0.01,-0.02,0.01,-0.06,-0.32,-0.19,-0.33,-0.17,-0.13,-0.27,-0.68,-0.43,-0.26,-0.23,-0.06,-0.14
RAD9       : DNA repair* ,1,0.15,-0.05,-0.25,-0.56,-0.17,-0.17,0.64,0.38,0.32,0.24,0.29,-0.04,0.61,0.47,0.22,0.14,0.26,0.24,-0.51,0.35,0.1,-0.02,0.1,-0.09,0.01,0.13,-0.1,0,-0.07,-0.16,-0.4,-0.44,-0.25,-0.2,-0.17,-0.22
MMS4       : DNA repair* ,1,0.25,-0.26,-0.18,0.17,0.02,0.09,0.78,0.15,0.57,0.41,0.16,0.15,0.5,0.73,NA,NA,0.52,0.45,NA,0.58,0.11,0.68,-0.12,0.12,-0.22,0.25,0.04,-0.29,-0.41,-0.07,NA,NA,-0.03,-0.18,-0.33,-0.37
          : biological process unknown ,1,0.24,-0.07,0.11,0.13,-0.24,-0.17,0.27,0.08,0.55,0.44,0.29,0.08,0.78,0.77,0.86,0.72,0.79,0.5,-0.98,0.45,0.33,0.25,0.18,-0.01,-0.15,-0.14,-0.23,-0.22,-0.22,0.04,-0.32,0.37,-0.09,0.07,0.04,-0.13
SWI4       : G1/S transition of mitotic cell cycle* ,1,-0.06,-0.24,0.06,-0.38,-0.05,-0.25,0.36,0.13,0.3,0.36,0.22,-0.07,0.66,0.77,0.79,0.93,0.66,0.33,-1.22,0.42,0.41,0.31,0.17,0.14,-0.22,-0.18,-0.1,-0.14,-0.21,-0.35,-0.18,-0.01,0.07,0.09,0.07,-0.18
SKY1       : response to drug* ,1,-0.22,-0.31,-0.19,-0.06,-0.21,-0.49,0.97,0.73,0.46,0.06,-0.15,-0.11,0.49,0.54,0.63,0.8,0.54,0.35,-1.51,0.48,0.09,0.06,-0.11,-0.12,-0.06,-0.04,-0.21,-0.22,-0.28,-0.41,-0.26,-0.19,-0.17,-0.36,-0.27,-0.31
NDD1       : G2/M-specific transcription in mitotic cell cycle ,1,-0.17,-0.3,-0.06,-0.16,-0.01,-0.27,0.37,0.29,0.55,0.46,0.48,0.35,0.28,0.3,0.42,0.53,0.24,0.05,-0.97,0.26,0.23,0.05,-0.06,0.06,-0.38,-0.42,-0.1,-0.16,-0.14,-0.34,-0.67,0.1,0.03,-0.18,0.12,-0.01
MPS2       : spindle pole body duplication in nuclear envelope* ,1,-0.13,-0.15,-0.41,-0.36,-0.17,-0.21,0.54,-0.02,0.44,0.51,0.33,0.1,0.34,0.54,0.42,0.73,0.74,-0.27,NA,-0.13,-0.15,0,0.12,-0.26,-0.1,0.23,-0.2,-0.22,0,-0.1,-0.61,0.25,-0.19,-0.12,-0.23,0.04
"KAR9       : nuclear migration, microtubule-mediated ",1,-0.3,-0.24,0.01,0.36,-0.05,-0.21,0.42,0.4,0.76,0.12,0.34,0.04,NA,0.59,0.78,0.15,0.99,NA,NA,-0.04,0.27,-0.13,0.35,0.15,-0.25,-0.31,-0.14,-0.32,-0.22,-0.35,0.2,-0.2,-0.35,-0.11,-0.33,-0.42
GDI1       : vesicle-mediated transport ,1,0.3,0.1,0.18,0.11,-0.02,-0.03,0.45,0.21,0.28,0.37,0.25,0.34,0.48,0.35,0.25,0.15,0.39,0.36,-0.51,0.15,0.05,-0.08,-0.21,-0.16,0.04,0.07,0.13,0.01,-0.09,-0.18,-0.51,0.07,-0.02,-0.14,-0.09,-0.06
          : ubiquitin-dependent protein catabolism ,1,0.39,0.35,0.28,0.07,-0.2,-0.13,0.5,0.4,0.6,0.39,0.41,0.51,0.73,0.57,0.75,0.75,0.59,0.61,0.04,0.04,-0.07,-0.02,-0.14,-0.01,0.23,0.29,0.03,0.04,-0.36,-0.57,-0.66,-0.17,-0.24,-0.36,-0.03,-0.19
LYS14      : lysine biosynthesis via aminoadipic acid ,1,0.12,0.37,0.26,0.02,-0.13,-0.21,0.18,0.24,0.74,0.38,0.36,0.12,0.42,0.59,0.41,0.56,0.38,0.11,0.28,0.21,0.01,-0.08,-0.19,-0.21,-0.15,0.32,0.22,0.12,-0.06,-0.27,-0.98,-0.01,-0.18,0.04,-0.11,-0.4
PIK1       : sporulation (sensu Fungi)* ,1,0.25,0.1,0.22,0.12,0.06,0.03,0.22,0.1,0.08,-0.06,0.06,0.06,0.33,0.32,0.33,0.2,0.12,0.18,-0.39,0.03,0.06,-0.08,0.03,-0.04,-0.1,-0.25,-0.16,-0.26,-0.12,-0.09,-0.22,-0.28,-0.19,-0.09,-0.07,-0.05
          :  ,1,0.16,0.34,NA,-0.16,0.33,0.35,-0.55,NA,0.04,NA,0.14,0.21,NA,1.08,1.03,0.97,0.31,NA,NA,0.06,0.09,NA,0.24,0.45,0.25,-0.35,-0.67,-0.26,0.23,0.2,1.87,0.61,0.51,0.69,0.37,0.31
          : biological process unknown ,1,0.51,0.21,-0.17,-0.06,0,0.08,-0.17,-0.38,0.28,0.24,0.06,0.13,1.33,0.72,0.73,0.66,0.34,0.52,-0.59,0.2,0.1,0.05,0.06,0.04,0.06,-0.23,-0.25,-0.09,-0.11,0.01,0.58,0.51,0.1,0.04,0.06,-0.06
          :  ,1,0.09,0.37,-0.17,-0.27,0.09,-0.19,-0.17,0.46,0.89,0.53,0.22,-0.03,0.9,0.5,0.45,0.52,0.22,0.61,0.08,-0.15,-0.15,0.05,0.02,-0.08,-0.01,0.06,-0.18,0,-0.09,-0.17,0.85,0.12,-0.09,0.32,0.1,-0.04
AFT2       : transcription initiation from RNA polymerase II promoter* ,1,0.42,0.13,0.27,0.14,-0.24,0.14,-0.07,-0.11,0.16,0.15,0.24,0.24,0.57,0.54,0.56,0.51,0.38,0.05,0.26,0.23,0.43,0.24,0.29,-0.36,0.29,0.14,0.32,-0.03,0.12,0.14,NA,-0.03,-0.16,0.06,-0.04,-0.08
NCE102     : protein secretion ,1,0.82,0.77,0.22,0.24,-0.11,-0.36,-0.11,-0.5,-0.34,0.12,-0.14,-0.16,1.44,1.1,1.02,1.28,0.79,0.57,0.21,0.39,0.7,0.6,0.26,0.46,0.3,-0.08,0.07,0.13,0.32,-0.11,-0.29,0.23,-0.13,0.28,0.21,0.17
SWP1       : protein amino acid N-linked glycosylation ,1,-0.52,-0.53,-0.32,-0.15,-0.1,0.07,-0.43,0.06,0.01,-0.01,-0.06,0.14,0.77,0.61,0.43,0.64,0.6,0.6,0.2,-0.3,-0.26,-0.06,-0.12,0.16,-0.38,-0.39,-0.04,0.05,0.17,0.16,-0.21,-0.04,-0.12,0.02,0.25,0.3
CPR5       : biological process unknown ,1,-0.25,-0.15,-0.47,-0.68,-0.32,-0.07,-0.35,-0.23,-0.03,-0.11,0.03,-0.03,1.11,0.98,0.91,0.97,0.79,0.79,-0.06,-0.2,-0.11,-0.23,-0.21,-0.28,-0.35,-0.11,0.02,0.19,0.22,0.15,-0.66,-0.2,-0.79,-0.13,-0.27,-0.03
DUS1       : tRNA modification ,1,-0.29,-0.47,-0.36,-0.41,0.03,0.11,-0.32,-0.24,-0.46,-0.22,-0.09,0.11,1.11,1.02,0.75,0.66,0.4,0.34,0.33,-0.38,-0.22,-0.24,-0.19,-0.19,-0.44,-0.42,0.06,0.02,0.1,0.14,-0.23,-0.51,-0.14,-0.12,-0.1,0.08
ESF1       : rRNA processing ,1,-0.32,-0.48,-0.01,-0.48,-0.3,0.03,-0.64,-0.5,0.01,0.22,0.22,-0.14,1.08,1.31,1.01,0.67,0.53,0.22,0.41,-0.81,-0.55,-0.4,-0.04,-0.45,-0.48,-0.11,-0.35,-0.4,-0.05,-0.16,-0.49,-0.69,-0.1,-0.03,-0.18,-0.08
          : biological process unknown ,1,-0.01,0.27,-0.13,-0.24,-0.09,-0.09,-0.81,-0.23,0.35,0.16,-0.16,-0.23,1.8,1.96,1.7,1.47,0.81,0.33,-0.33,-0.45,-0.43,-0.18,-0.15,-0.08,-0.2,-0.04,-0.35,-0.19,-0.33,-0.12,0,-0.2,-0.42,-0.09,-0.29,-0.3
TAF3       : transcription initiation from RNA polymerase II promoter* ,1,-0.02,0.02,-0.19,-0.14,-0.27,-0.2,-0.31,-0.08,0.22,0.03,-0.09,-0.24,0.67,0.43,0.26,0.41,0.04,0.13,0.42,0.21,0.11,0.12,0.06,-0.05,0.19,0.2,-0.05,0.01,-0.16,-0.01,0.4,0.07,-0.14,-0.07,-0.06,-0.01
"SYF2       : nuclear mRNA splicing, via spliceosome* ",1,0.68,0.73,0.16,-0.16,-0.08,0.16,-0.65,-0.2,0.4,0.28,0.32,-0.23,1.25,1.26,1.1,1.03,0.55,0.23,0.64,0.24,0.14,0,0.05,-0.07,0.21,0.11,-0.23,-0.18,-0.05,-0.17,0.09,-0.1,-0.28,0.04,-0.21,-0.17
TTR1       : response to oxidative stress* ,1,0.17,0.23,0,0.15,0.09,-0.13,-0.53,-0.35,0.22,0.42,-0.14,-0.27,1.62,0.75,0.8,0.74,0.29,0.47,0.66,0.34,0.45,0.32,0.22,0.06,0.1,-0.18,-0.28,0.05,-0.07,0.1,1.04,0.21,-0.11,0.17,-0.04,-0.31
FUS2       : regulation of termination of mating projection growth* ,1,0.54,NA,-0.1,-0.13,-0.17,-0.07,0.33,0.06,0.05,0.76,0.18,-0.55,2.14,1.35,1.16,0.86,0.27,0.24,0.54,0.32,-0.03,0.05,-0.01,-0.07,-0.03,-0.18,-0.11,-0.16,0.06,-0.05,0.9,0.22,0.05,0.14,-0.28,-0.33
OSH7       : steroid biosynthesis ,1,0,0.01,0.31,0.15,-0.03,-0.24,0.13,0.17,0.07,-0.2,-0.17,-0.29,0.95,1.09,0.75,0.48,0.33,0.15,0.25,0.14,0.11,-0.04,-0.03,-0.17,-0.02,-0.05,0.19,0,-0.13,-0.15,0.6,0.08,-0.18,0.09,-0.1,-0.26
"CWC22      : nuclear mRNA splicing, via spliceosome ",1,-0.04,-0.18,0.02,-0.11,-0.23,-0.32,0.02,0.01,0.19,0.19,0.16,-0.11,0.58,0.6,0.42,0.39,0.38,0.03,0.15,-0.11,0,-0.07,0,-0.07,0.18,0.09,-0.04,0,-0.01,-0.15,0.68,0.1,0.01,0.08,-0.01,0.03
DEM1       : biological process unknown ,1,-0.32,-0.16,-0.24,-0.32,-0.25,-0.21,0.33,0.37,0.35,0.54,0.36,0.18,0.65,0.6,0.59,0.18,0.47,0.63,0.01,-0.02,0.04,-0.05,-0.03,-0.05,-0.05,0.13,0.01,0.02,-0.18,-0.17,0.37,0.01,-0.12,-0.02,-0.01,-0.12
          : biological process unknown ,1,-0.35,-0.23,-0.4,-0.25,-0.23,-0.1,-0.31,-0.06,0.49,0.39,0.17,-0.19,0.86,0.86,0.76,0.62,0.55,0.37,0.9,0.17,0,-0.12,0.21,0.04,-0.47,-0.07,0,0.04,0.07,0.28,0.45,0.07,0.17,0.4,0.05,-0.13
CCL1       : transcription initiation from RNA polymerase II promoter* ,1,-0.3,-0.16,-0.4,0.02,-0.15,-0.18,-0.23,-0.17,0.33,0.39,0.41,-0.14,0.81,0.56,0.77,0.73,0.67,0.52,0.48,0.15,0.18,0.06,0.07,-0.03,-0.2,-0.07,-0.09,0.01,0.03,0.05,0.15,-0.01,0.12,0.17,0.15,-0.06
          : biological process unknown ,1,-0.82,-0.29,0.39,0.52,-0.25,-0.63,-0.31,0.19,0.69,0.4,0.24,-0.06,1.68,1.7,1.84,1.77,1.36,0.58,1,0.86,0.6,0.64,0.83,0.57,0.13,0.3,0.01,0.2,0.21,0.26,1.08,1.11,0.84,0.36,0.23,0.17
